"rider","Team
","Cost
","Stg
","GC
","PC
","KOM
","Spr
","Sum
","Bky
","Ass
","Tot

","stage","directeur","team"
"Christopher Froome","Team Sky",26,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Brendan Smith","The Bandits"
"Julian Alaphilippe","Etixx - Quick Step",10,10,7,NA,NA,NA,NA,NA,10,27,1,"Brendan Smith","The Bandits"
"Nairo Quintana","Movistar Team",22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Brendan Smith","The Bandits"
"Romain Bardet","AG2R La Mondiale",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Brendan Smith","The Bandits"
"Michael Matthews","Orica GreenEDGE",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Brendan Smith","The Bandits"
"Mathew Hayman","Orica GreenEDGE",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Brendan Smith","The Bandits"
"Eduardo Sepúlveda","Fortuneo - Vital Concept",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Brendan Smith","The Bandits"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,6,6,1,"Brendan Smith","The Bandits"
"Alexis Vuillermoz","AG2R La Mondiale",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Brendan Smith","The Bandits"
"Christopher Froome","Team Sky",26,30,16,NA,NA,NA,NA,NA,4,50,2,"Brendan Smith","The Bandits"
"Julian Alaphilippe","Etixx - Quick Step",10,150,22,2,NA,NA,NA,NA,NA,174,2,"Brendan Smith","The Bandits"
"Nairo Quintana","Movistar Team",22,NA,14,NA,NA,NA,NA,NA,6,20,2,"Brendan Smith","The Bandits"
"Romain Bardet","AG2R La Mondiale",14,NA,4,NA,NA,NA,NA,NA,NA,4,2,"Brendan Smith","The Bandits"
"Michael Matthews","Orica GreenEDGE",10,80,2,NA,NA,NA,NA,NA,6,88,2,"Brendan Smith","The Bandits"
"Mathew Hayman","Orica GreenEDGE",4,NA,NA,NA,NA,NA,NA,NA,6,6,2,"Brendan Smith","The Bandits"
"Eduardo Sepúlveda","Fortuneo - Vital Concept",4,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Brendan Smith","The Bandits"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Brendan Smith","The Bandits"
"Alexis Vuillermoz","AG2R La Mondiale",6,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Brendan Smith","The Bandits"
"Christopher Froome","Team Sky",26,NA,18,NA,NA,NA,NA,NA,4,22,3,"Brendan Smith","The Bandits"
"Julian Alaphilippe","Etixx - Quick Step",10,5,22,NA,NA,NA,NA,NA,NA,27,3,"Brendan Smith","The Bandits"
"Nairo Quintana","Movistar Team",22,NA,15,NA,NA,NA,NA,NA,4,19,3,"Brendan Smith","The Bandits"
"Romain Bardet","AG2R La Mondiale",14,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Brendan Smith","The Bandits"
"Michael Matthews","Orica GreenEDGE",10,20,9,NA,NA,3,NA,NA,6,38,3,"Brendan Smith","The Bandits"
"Mathew Hayman","Orica GreenEDGE",4,NA,NA,NA,NA,NA,NA,NA,6,6,3,"Brendan Smith","The Bandits"
"Eduardo Sepúlveda","Fortuneo - Vital Concept",4,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Brendan Smith","The Bandits"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,4,4,3,"Brendan Smith","The Bandits"
"Alexis Vuillermoz","AG2R La Mondiale",6,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Brendan Smith","The Bandits"
"Christopher Froome","Team Sky",26,NA,16,NA,NA,NA,NA,NA,4,20,4,"Brendan Smith","The Bandits"
"Julian Alaphilippe","Etixx - Quick Step",10,5,22,NA,NA,NA,NA,NA,6,33,4,"Brendan Smith","The Bandits"
"Nairo Quintana","Movistar Team",22,NA,14,NA,NA,NA,NA,NA,4,18,4,"Brendan Smith","The Bandits"
