league,league_no,league_weblink
AusBus Rouleurs,911923153215,https://www.velogames.com/tour-de-france/2016/leaguescores.php?league=911923153215
Cunning Stunts,712804410714,https://www.velogames.com/tour-de-france/2016/leaguescores.php?league=712804410714
4051 Rouleurs,552723443913,https://www.velogames.com/tour-de-france/2016/leaguescores.php?league=552723443913
