"rider","Team
","Cost
","Stg
","GC
","PC
","KOM
","Spr
","Sum
","Bky
","Ass
","Tot

","stage","directeur","team"
"Alejandro Valverde","Movistar Team",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Shayne Hohensee","The sticky biddon"
"Tom Dumoulin","Team Giant - Alpecin",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Shayne Hohensee","The sticky biddon"
"Vincenzo Nibali","Astana Pro Team",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Shayne Hohensee","The sticky biddon"
"Pierre Rolland","Cannondale Pro Cycling Team",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Shayne Hohensee","The sticky biddon"
"Mark Cavendish","Dimension Data",12,200,25,10,NA,1,NA,NA,NA,236,1,"Shayne Hohensee","The sticky biddon"
"Bernhard Eisel","Dimension Data",6,NA,NA,NA,NA,NA,NA,NA,12,12,1,"Shayne Hohensee","The sticky biddon"
"Thomas De Gendt","Lotto Soudal",6,NA,NA,NA,NA,NA,NA,NA,6,6,1,"Shayne Hohensee","The sticky biddon"
"Haimar Zubeldia","Trek-Segafredo",6,NA,NA,NA,NA,NA,NA,NA,4,4,1,"Shayne Hohensee","The sticky biddon"
"Peter Sagan","Tinkoff",20,120,20,4,NA,4,NA,NA,NA,148,1,"Shayne Hohensee","The sticky biddon"
"Alejandro Valverde","Movistar Team",14,120,20,NA,NA,NA,NA,NA,2,142,2,"Shayne Hohensee","The sticky biddon"
"Tom Dumoulin","Team Giant - Alpecin",12,NA,7,NA,NA,NA,NA,NA,NA,7,2,"Shayne Hohensee","The sticky biddon"
"Vincenzo Nibali","Astana Pro Team",14,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Shayne Hohensee","The sticky biddon"
"Pierre Rolland","Cannondale Pro Cycling Team",10,20,9,NA,NA,NA,NA,NA,NA,29,2,"Shayne Hohensee","The sticky biddon"
"Mark Cavendish","Dimension Data",12,NA,NA,6,NA,2,NA,NA,NA,8,2,"Shayne Hohensee","The sticky biddon"
"Bernhard Eisel","Dimension Data",6,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Shayne Hohensee","The sticky biddon"
"Thomas De Gendt","Lotto Soudal",6,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Shayne Hohensee","The sticky biddon"
"Haimar Zubeldia","Trek-Segafredo",6,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Shayne Hohensee","The sticky biddon"
"Peter Sagan","Tinkoff",20,200,25,10,NA,3,NA,NA,NA,238,2,"Shayne Hohensee","The sticky biddon"
"Alejandro Valverde","Movistar Team",14,NA,20,NA,NA,NA,NA,NA,2,22,3,"Shayne Hohensee","The sticky biddon"
"Tom Dumoulin","Team Giant - Alpecin",12,NA,8,NA,NA,NA,NA,NA,NA,8,3,"Shayne Hohensee","The sticky biddon"
"Vincenzo Nibali","Astana Pro Team",14,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Shayne Hohensee","The sticky biddon"
"Pierre Rolland","Cannondale Pro Cycling Team",10,NA,10,NA,NA,NA,NA,NA,NA,10,3,"Shayne Hohensee","The sticky biddon"
"Mark Cavendish","Dimension Data",12,200,NA,10,NA,5,NA,NA,NA,215,3,"Shayne Hohensee","The sticky biddon"
"Bernhard Eisel","Dimension Data",6,NA,NA,NA,NA,NA,NA,NA,6,6,3,"Shayne Hohensee","The sticky biddon"
"Thomas De Gendt","Lotto Soudal",6,NA,NA,NA,NA,NA,NA,NA,4,4,3,"Shayne Hohensee","The sticky biddon"
"Haimar Zubeldia","Trek-Segafredo",6,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Shayne Hohensee","The sticky biddon"
"Peter Sagan","Tinkoff",20,100,25,6,NA,6,NA,NA,NA,137,3,"Shayne Hohensee","The sticky biddon"
"Alejandro Valverde","Movistar Team",14,NA,20,NA,NA,NA,NA,NA,2,22,4,"Shayne Hohensee","The sticky biddon"
"Tom Dumoulin","Team Giant - Alpecin",12,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Shayne Hohensee","The sticky biddon"
"Vincenzo Nibali","Astana Pro Team",14,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Shayne Hohensee","The sticky biddon"
"Pierre Rolland","Cannondale Pro Cycling Team",10,NA,11,NA,NA,NA,NA,NA,NA,11,4,"Shayne Hohensee","The sticky biddon"
"Mark Cavendish","Dimension Data",12,50,NA,6,NA,4,NA,NA,NA,60,4,"Shayne Hohensee","The sticky biddon"
"Bernhard Eisel","Dimension Data",6,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Shayne Hohensee","The sticky biddon"
"Thomas De Gendt","Lotto Soudal",6,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Shayne Hohensee","The sticky biddon"
"Haimar Zubeldia","Trek-Segafredo",6,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Shayne Hohensee","The sticky biddon"
