"rider","Team
","Cost
","Stg
","GC
","PC
","KOM
","Spr
","Sum
","Bky
","Ass
","Tot

","stage","directeur","team"
"Christopher Froome","Team Sky",22,20,NA,NA,NA,NA,NA,NA,NA,20,1,"Peter Howes","Wilston Wippets"
"Simon Yates","ORICA - BikeExchange",12,12,NA,NA,NA,NA,NA,NA,NA,12,1,"Peter Howes","Wilston Wippets"
"Nairo Quintana","Movistar Team",22,15,NA,NA,NA,NA,NA,NA,NA,15,1,"Peter Howes","Wilston Wippets"
"Johan Esteban Chaves","ORICA - BikeExchange",18,12,NA,NA,NA,NA,NA,NA,NA,12,1,"Peter Howes","Wilston Wippets"
"Luka Mezgec","ORICA - BikeExchange",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Peter Howes","Wilston Wippets"
"Rubén Fernández","Movistar Team",4,15,NA,NA,NA,NA,NA,NA,NA,15,1,"Peter Howes","Wilston Wippets"
"Heinrich Haussler","IAM Cycling",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Peter Howes","Wilston Wippets"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Peter Howes","Wilston Wippets"
"Magnus Cort","ORICA - BikeExchange",4,12,NA,NA,NA,NA,NA,NA,NA,12,1,"Peter Howes","Wilston Wippets"
"Christopher Froome","Team Sky",22,NA,18,NA,NA,NA,NA,NA,12,30,2,"Peter Howes","Wilston Wippets"
"Simon Yates","ORICA - BikeExchange",12,NA,5,NA,NA,NA,NA,NA,4,9,2,"Peter Howes","Wilston Wippets"
"Nairo Quintana","Movistar Team",22,NA,14,NA,NA,NA,NA,NA,10,24,2,"Peter Howes","Wilston Wippets"
"Johan Esteban Chaves","ORICA - BikeExchange",18,NA,6,NA,NA,NA,NA,NA,4,10,2,"Peter Howes","Wilston Wippets"
"Luka Mezgec","ORICA - BikeExchange",8,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Peter Howes","Wilston Wippets"
"Rubén Fernández","Movistar Team",4,NA,12,NA,NA,NA,NA,NA,10,22,2,"Peter Howes","Wilston Wippets"
"Heinrich Haussler","IAM Cycling",6,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Peter Howes","Wilston Wippets"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Peter Howes","Wilston Wippets"
"Magnus Cort","ORICA - BikeExchange",4,120,9,4,NA,NA,NA,NA,2,135,2,"Peter Howes","Wilston Wippets"
"Christopher Froome","Team Sky",22,100,20,NA,NA,NA,NA,NA,4,124,3,"Peter Howes","Wilston Wippets"
"Simon Yates","ORICA - BikeExchange",12,NA,10,NA,NA,NA,NA,NA,NA,10,3,"Peter Howes","Wilston Wippets"
"Nairo Quintana","Movistar Team",22,70,16,NA,NA,NA,NA,NA,22,108,3,"Peter Howes","Wilston Wippets"
"Johan Esteban Chaves","ORICA - BikeExchange",18,80,18,NA,NA,NA,NA,NA,NA,98,3,"Peter Howes","Wilston Wippets"
"Luka Mezgec","ORICA - BikeExchange",8,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Peter Howes","Wilston Wippets"
"Rubén Fernández","Movistar Team",4,150,25,4,2,NA,NA,NA,12,193,3,"Peter Howes","Wilston Wippets"
"Heinrich Haussler","IAM Cycling",6,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Peter Howes","Wilston Wippets"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Peter Howes","Wilston Wippets"
"Magnus Cort","ORICA - BikeExchange",4,NA,NA,1,NA,NA,NA,NA,NA,1,3,"Peter Howes","Wilston Wippets"
"Christopher Froome","Team Sky",22,NA,20,NA,NA,NA,NA,NA,NA,20,4,"Peter Howes","Wilston Wippets"
"Simon Yates","ORICA - BikeExchange",12,NA,6,NA,NA,NA,NA,NA,NA,6,4,"Peter Howes","Wilston Wippets"
"Nairo Quintana","Movistar Team",22,NA,16,NA,NA,NA,NA,NA,10,26,4,"Peter Howes","Wilston Wippets"
"Johan Esteban Chaves","ORICA - BikeExchange",18,NA,18,NA,NA,NA,NA,NA,NA,18,4,"Peter Howes","Wilston Wippets"
"Luka Mezgec","ORICA - BikeExchange",8,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Peter Howes","Wilston Wippets"
"Rubén Fernández","Movistar Team",4,NA,14,2,NA,NA,NA,NA,10,26,4,"Peter Howes","Wilston Wippets"
"Heinrich Haussler","IAM Cycling",6,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Peter Howes","Wilston Wippets"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Peter Howes","Wilston Wippets"
"Magnus Cort","ORICA - BikeExchange",4,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Peter Howes","Wilston Wippets"
"Christopher Froome","Team Sky",22,10,20,NA,NA,NA,NA,NA,NA,30,5,"Peter Howes","Wilston Wippets"
"Simon Yates","ORICA - BikeExchange",12,NA,6,NA,NA,NA,NA,NA,NA,6,5,"Peter Howes","Wilston Wippets"
"Nairo Quintana","Movistar Team",22,15,18,NA,NA,NA,NA,NA,10,43,5,"Peter Howes","Wilston Wippets"
"Johan Esteban Chaves","ORICA - BikeExchange",18,NA,16,NA,NA,NA,NA,NA,NA,16,5,"Peter Howes","Wilston Wippets"
"Luka Mezgec","ORICA - BikeExchange",8,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"Peter Howes","Wilston Wippets"
"Rubén Fernández","Movistar Team",4,NA,14,NA,NA,NA,NA,NA,10,24,5,"Peter Howes","Wilston Wippets"
"Heinrich Haussler","IAM Cycling",6,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"Peter Howes","Wilston Wippets"
