league,league_no,league_weblink
Cunning Stunts,131601094614,https://www.velogames.com/vuelta-a-espana/2016/leaguescores.php?league=131601094614
4051 Rouleurs,741602135413,https://www.velogames.com/vuelta-a-espana/2016/leaguescores.php?league=741602135413
AusBus Rouleurs,231701090915,https://www.velogames.com/vuelta-a-espana/2016/leaguescores.php?league=231701090915
