"rider","Team
","Cost
","Stg
","GC
","PC
","KOM
","Spr
","Sum
","Bky
","Ass
","Tot

","stage","directeur","team"
"Alejandro Valverde","Movistar Team",16,15,NA,NA,NA,NA,NA,NA,NA,15,1,"Steve H","team helmet"
"Tejay Van Garderen","BMC Racing Team",12,10,NA,NA,NA,NA,NA,NA,NA,10,1,"Steve H","team helmet"
"Nairo Quintana","Movistar Team",22,15,NA,NA,NA,NA,NA,NA,NA,15,1,"Steve H","team helmet"
"Mikel Landa","Team Sky",16,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Steve H","team helmet"
"Daniele Bennati","Tinkoff",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Steve H","team helmet"
"Jesús Hernández","Tinkoff",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Steve H","team helmet"
"Rubén Fernández","Movistar Team",4,15,NA,NA,NA,NA,NA,NA,NA,15,1,"Steve H","team helmet"
"Imanol Erviti","Movistar Team",4,15,NA,NA,NA,NA,NA,NA,NA,15,1,"Steve H","team helmet"
"Andrew Talansky","Cannondale Pro Cycling Team",12,2,NA,NA,NA,NA,NA,NA,NA,2,1,"Steve H","team helmet"
"Alejandro Valverde","Movistar Team",16,NA,20,NA,NA,NA,NA,NA,8,28,2,"Steve H","team helmet"
"Tejay Van Garderen","BMC Racing Team",12,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Steve H","team helmet"
"Nairo Quintana","Movistar Team",22,NA,14,NA,NA,NA,NA,NA,10,24,2,"Steve H","team helmet"
"Mikel Landa","Team Sky",16,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Steve H","team helmet"
"Daniele Bennati","Tinkoff",8,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Steve H","team helmet"
"Jesús Hernández","Tinkoff",6,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Steve H","team helmet"
"Rubén Fernández","Movistar Team",4,NA,12,NA,NA,NA,NA,NA,10,22,2,"Steve H","team helmet"
"Imanol Erviti","Movistar Team",4,NA,NA,NA,NA,NA,NA,NA,10,10,2,"Steve H","team helmet"
"Andrew Talansky","Cannondale Pro Cycling Team",12,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Steve H","team helmet"
"Alejandro Valverde","Movistar Team",16,120,22,2,NA,NA,NA,NA,16,160,3,"Steve H","team helmet"
"Tejay Van Garderen","BMC Racing Team",12,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Steve H","team helmet"
"Nairo Quintana","Movistar Team",22,70,16,NA,NA,NA,NA,NA,22,108,3,"Steve H","team helmet"
"Mikel Landa","Team Sky",16,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Steve H","team helmet"
"Daniele Bennati","Tinkoff",8,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Steve H","team helmet"
"Jesús Hernández","Tinkoff",6,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Steve H","team helmet"
"Rubén Fernández","Movistar Team",4,150,25,4,2,NA,NA,NA,12,193,3,"Steve H","team helmet"
"Imanol Erviti","Movistar Team",4,NA,NA,NA,NA,NA,NA,NA,22,22,3,"Steve H","team helmet"
"Andrew Talansky","Cannondale Pro Cycling Team",12,NA,3,NA,NA,NA,NA,NA,NA,3,3,"Steve H","team helmet"
"Alejandro Valverde","Movistar Team",16,NA,22,NA,NA,NA,NA,NA,6,28,4,"Steve H","team helmet"
"Tejay Van Garderen","BMC Racing Team",12,NA,NA,NA,NA,NA,NA,NA,14,14,4,"Steve H","team helmet"
"Nairo Quintana","Movistar Team",22,NA,16,NA,NA,NA,NA,NA,10,26,4,"Steve H","team helmet"
"Mikel Landa","Team Sky",16,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Steve H","team helmet"
"Daniele Bennati","Tinkoff",8,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Steve H","team helmet"
"Jesús Hernández","Tinkoff",6,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Steve H","team helmet"
"Rubén Fernández","Movistar Team",4,NA,14,2,NA,NA,NA,NA,10,26,4,"Steve H","team helmet"
"Imanol Erviti","Movistar Team",4,NA,NA,NA,NA,NA,NA,NA,10,10,4,"Steve H","team helmet"
"Andrew Talansky","Cannondale Pro Cycling Team",12,NA,4,NA,NA,NA,NA,NA,4,8,4,"Steve H","team helmet"
