"rider","Team","Cost","Stg","GC","PC","KOM","Spr","Sum","Bky","Ass","Tot","stage","directeur","team"
"Warren Barguil","Team Sunweb",12,12,NA,NA,NA,NA,NA,NA,NA,12,1,"Britt Groom","Fake Magic"
"Tejay Van Garderen","BMC Racing Team",10,20,NA,NA,NA,NA,NA,NA,NA,20,1,"Britt Groom","Fake Magic"
"Rafal Majka","Bora - Hansgrohe",14,6,NA,NA,NA,NA,NA,NA,NA,6,1,"Britt Groom","Fake Magic"
"Diego Rosa","Team Sky",8,10,NA,NA,NA,NA,NA,NA,NA,10,1,"Britt Groom","Fake Magic"
"José Joaquín Rojas","Movistar Team",8,2,NA,NA,NA,NA,NA,NA,NA,2,1,"Britt Groom","Fake Magic"
"Rohan Dennis","BMC Racing Team",8,20,20,NA,NA,NA,NA,NA,NA,40,1,"Britt Groom","Fake Magic"
"Michael Woods","Cannondale-Drapac Pro Cycling Team",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Britt Groom","Fake Magic"
"Brendan Canty","Cannondale-Drapac Pro Cycling Team",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Britt Groom","Fake Magic"
"Christopher Froome","Team Sky",26,10,NA,NA,NA,NA,NA,NA,NA,10,1,"Britt Groom","Fake Magic"
"Christopher Froome","Team Sky",26,10,NA,NA,NA,NA,NA,NA,NA,10,1,"Chris Fraser","Bunch of randos"
"Adam Yates","ORICA-Scott",14,8,NA,NA,NA,NA,NA,NA,NA,8,1,"Chris Fraser","Bunch of randos"
"Mikel Nieve","Team Sky",8,10,NA,NA,NA,NA,NA,NA,NA,10,1,"Chris Fraser","Bunch of randos"
"Rafal Majka","Bora - Hansgrohe",14,6,NA,NA,NA,NA,NA,NA,NA,6,1,"Chris Fraser","Bunch of randos"
"Sacha Modolo","UAE Team Emirates",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Bunch of randos"
"Rohan Dennis","BMC Racing Team",8,20,20,NA,NA,NA,NA,NA,NA,40,1,"Chris Fraser","Bunch of randos"
"Ian Stannard","Team Sky",6,10,NA,NA,NA,NA,NA,NA,NA,10,1,"Chris Fraser","Bunch of randos"
"Christian Knees","Team Sky",6,10,NA,NA,NA,NA,NA,NA,NA,10,1,"Chris Fraser","Bunch of randos"
"Jarlinson Pantano","Trek - Segafredo",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Bunch of randos"
"Christopher Froome","Team Sky",26,10,NA,NA,NA,NA,NA,NA,NA,10,1,"Andrew Glutz","Not So Smiling Assassins"
"Adam Yates","ORICA-Scott",14,8,NA,NA,NA,NA,NA,NA,NA,8,1,"Andrew Glutz","Not So Smiling Assassins"
"Fabio Aru","Astana Pro Team",16,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Andrew Glutz","Not So Smiling Assassins"
"Carlos Betancur","Movistar Team",10,2,NA,NA,NA,NA,NA,NA,NA,2,1,"Andrew Glutz","Not So Smiling Assassins"
"John Degenkolb","Trek - Segafredo",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Andrew Glutz","Not So Smiling Assassins"
"Rohan Dennis","BMC Racing Team",8,20,20,NA,NA,NA,NA,NA,NA,40,1,"Andrew Glutz","Not So Smiling Assassins"
"Bernardo Suaza","Manzana Postobon",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Andrew Glutz","Not So Smiling Assassins"
"Loïc Vliegen","BMC Racing Team",6,20,NA,NA,NA,NA,NA,NA,NA,20,1,"Andrew Glutz","Not So Smiling Assassins"
"Valerio Agnoli","Bahrain Merida Pro Cycling Team",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Andrew Glutz","Not So Smiling Assassins"
"Christopher Froome","Team Sky",26,10,NA,NA,NA,NA,NA,NA,NA,10,1,"Mark Hinds","Opto`s Vuelta Armas"
"Andrew Talansky","Cannondale-Drapac Pro Cycling Team",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Mark Hinds","Opto`s Vuelta Armas"
"Fabio Aru","Astana Pro Team",16,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Mark Hinds","Opto`s Vuelta Armas"
"Romain Bardet","AG2R La Mondiale",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Mark Hinds","Opto`s Vuelta Armas"
"Adam Blythe","Aqua Blue Sport",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Mark Hinds","Opto`s Vuelta Armas"
