league,league_no,league_weblink
Cunning Stunts,602543914,https://www.velogames.com/vuelta-a-espana/2017/leaguescores.php?league=602543914
4051 Rouleurs,974937113,https://www.velogames.com/vuelta-a-espana/2017/leaguescores.php?league=974937113
