"rider","Team","Cost","Stg","GC","PC","KOM","Spr","Sum","Bky","Ass","Tot","stage","directeur","team"
"Richie Porte","BMC Racing Team",22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jack","Beardy Beards"
"Geraint Thomas","Team Sky",12,200,NA,NA,NA,NA,NA,NA,NA,200,1,"Jack","Beardy Beards"
"Daniel Martin","Quick-Step Floors",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jack","Beardy Beards"
"Mikel Landa","Team Sky",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jack","Beardy Beards"
"Mark Cavendish","Dimension Data",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jack","Beardy Beards"
"Tony Martin","Team Katusha - Alpecin",8,100,NA,NA,NA,NA,NA,NA,NA,100,1,"Jack","Beardy Beards"
"Simon Clarke","Cannondale-Drapac Pro Cycling Team",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jack","Beardy Beards"
"Roman Kreuziger","ORICA-Scott",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jack","Beardy Beards"
"Nacer Bouhanni","Cofidis Solutions Crédits",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jack","Beardy Beards"
"Simon Yates","ORICA-Scott",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Glen Browning","Glen`s segment hunters"
"Richie Porte","BMC Racing Team",22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Glen Browning","Glen`s segment hunters"
"Daniel Martin","Quick-Step Floors",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Glen Browning","Glen`s segment hunters"
"Pierre Rolland","Cannondale-Drapac Pro Cycling Team",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Glen Browning","Glen`s segment hunters"
"Peter Sagan","Bora - Hansgrohe",22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Glen Browning","Glen`s segment hunters"
"Tony Martin","Team Katusha - Alpecin",8,100,NA,NA,NA,NA,NA,NA,NA,100,1,"Glen Browning","Glen`s segment hunters"
"Thomas Boudat","Direct Energie",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Glen Browning","Glen`s segment hunters"
"Vasil Kiryienka","Team Sky",6,120,NA,NA,NA,NA,NA,NA,NA,120,1,"Glen Browning","Glen`s segment hunters"
