league,league_no,league_weblink
AusBus Rouleurs,673022392215,https://www.velogames.com/giro-ditalia/2017/leaguescores.php?league=673022392215
Cunning Stunts,760208202214,https://www.velogames.com/giro-ditalia/2017/leaguescores.php?league=760208202214
4051 Rouleurs,760302262113,https://www.velogames.com/giro-ditalia/2017/leaguescores.php?league=760302262113
Brissy Boys,940305525011,https://www.velogames.com/giro-ditalia/2017/leaguescores.php?league=940305525011
