league,league_no,league_weblink
Cunning Stunts,623773014,https://www.velogames.com/tour-de-france/2018/leaguescores.php?league=623773014
4051 Rouleurs,924206313,https://www.velogames.com/tour-de-france/2018/leaguescores.php?league=924206313
